1,7054,6877,10070,4327,2246,7911
2,5610,5260,858,5567,10019,3357
3,6114,7210,8397,5256,8767,3458
4,904,5248,3875,1506,9106,3546
5,288,9671,3234,9763,1940,7203
6,2075,2771,7248,4004,9206,9566
7,244,1506,5980,2054,6090,904
8,3875,10070,4327,5610,3546,9763
9,7248,2246,6114,10019,7210,2771
10,5980,7203,9566,5260,5248,244
11,2075,9106,3234,3357,8767,6090
12,2054,1940,9206,7054,8397,5567
13,5256,858,288,4004,7911,6877
14,9671,7210,8767,3458,9566,2771
15,904,1940,5980,10019,7203,5610
16,6114,5256,9106,5260,8397,9763
17,858,2054,3875,3234,3357,2246
18,9206,6090,288,3546,7248,4327
19,7054,7911,9671,5248,6877,5567
20,10070,4004,244,3458,1506,2075
21,7210,7248,3357,7203,2246,5256
22,8397,5980,3234,5567,9106,3875
23,244,3458,6090,2771,7911,5248
24,9206,5610,1506,6877,9671,2075
25,9566,4327,2054,6114,4004,1940
26,288,5260,7054,10070,858,3546
27,9763,10019,244,8767,9206,904
28,7248,3234,6090,5610,6114,9671
29,2075,4327,858,7203,8397,5248
30,5567,5260,8767,5980,288,2054
31,3546,4004,3458,10019,904,9106
32,2246,6877,1940,9763,2771,10070
33,7210,5256,1506,3357,9566,7054
34,7911,6114,5260,3875,2075,7203
35,9106,3458,6877,4004,5567,7248
36,10070,6090,2246,5980,9206,9763
37,9671,3357,3546,244,7911,8397
38,3875,288,10019,2771,2054,5256
39,5248,7054,7210,1506,3234,904
40,9566,858,8767,4327,5610,1940
41,10019,2246,5260,288,3458,7911
42,2771,7203,4004,3357,9763,6114
43,858,8397,904,7248,9671,10070
44,5567,4327,5980,3234,244,5256
45,2054,3546,8767,6877,1506,6090
46,2075,5610,5248,7210,1940,9106
47,9566,3875,6114,7054,9206,858
48,5260,1506,7203,8397,7248,10019
49,3458,5248,2054,5610,10070,288
50,6877,4327,2771,904,244,9566
51,9763,5567,2075,8767,7054,2246
52,5256,9671,9206,9106,5980,3357
53,7911,3546,3875,7210,3234,4004
54,6090,6114,2771,1940,5567,288
55,1506,9763,5248,9206,5260,7248
56,8767,10019,10070,244,858,7210
57,1940,3357,3458,5980,3546,6877
58,904,5256,4327,2054,2075,2246
59,9671,6090,8397,3875,7054,4004
60,9106,9566,5610,7911,3234,7203
61,4327,244,9206,5260,2054,7210
62,6877,8397,3357,288,5248,7248
63,3234,9763,7054,3458,5980,5610
64,9106,2771,2246,858,4004,1506
65,3546,6114,5567,9566,10070,2075
66,1940,10019,9671,6090,5256,7911
67,7203,904,3458,8767,3875,6877
68,8397,2054,5610,2771,288,3546
69,7210,9763,9566,6090,5980,858
70,7911,3357,1506,4327,8767,6114
71,9206,7203,10070,5256,2075,10019
72,2246,904,5567,9671,9106,5260
73,1940,3875,3234,244,7248,7054
74,4004,8767,9763,5248,9566,10019
75,3458,5567,9206,1506,4327,9671
76,7248,904,7911,3357,288,244
77,3546,7054,5256,858,2771,1940
78,5248,10070,9106,7203,6114,2054
79,6090,5610,7210,2246,3875,8397
80,5980,2075,4004,3234,6877,5260
