1,2377,6326,4575,6213,5841,102
2,9072,5830,8726,4464,3748,888
3,1446,4541,1727,1418,10057,9235
4,116,614,8514,686,8622,1111
5,1908,2537,7886,2849,2914,5338
6,1719,6326,9072,3748,1727,3793
7,4464,9235,6213,1908,2377,614
8,1418,2914,5830,2537,686,1111
9,7886,10057,102,5841,888,116
10,1446,5338,1719,3793,4541,8514
11,8622,4575,1418,8726,2849,2377
12,4541,1111,2537,1727,9235,5338
13,3748,102,2914,2849,1719,5830
14,6326,888,6213,10057,686,4575
15,8622,1446,8514,614,5841,7886
16,3793,9072,116,4464,8726,1908
17,2377,5338,5830,4541,10057,1719
18,8622,888,7886,6326,4464,1446
19,8514,2914,9072,614,4575,1908
20,686,1727,8726,3748,1418,6213
21,3793,1111,5841,9235,2849,116
22,6213,2537,8622,102,1908,1719
23,8726,3748,10057,2914,1111,2377
24,5830,9072,2849,4575,1446,116
25,4464,686,1418,6326,2537,614
26,102,3793,9235,8514,5841,4541
27,888,1727,1719,5338,7886,686
28,1908,8726,5841,5830,1446,614
29,2849,6213,1727,2914,3793,888
30,8514,2537,9235,1418,10057,6326
31,4541,7886,2377,116,4464,3748
32,5338,8622,4575,9072,1111,102
33,2377,116,1727,6326,2849,4541
34,102,5830,888,1418,6213,1111
35,9235,8622,10057,1719,7886,8726
36,9072,3748,614,5338,3793,4464
37,686,2914,5841,2537,8514,1908
38,2849,4541,4575,1446,1418,7886
39,6213,614,3793,5830,116,686
40,5841,2377,9235,8726,888,2914
41,1111,8514,10057,9072,1727,2537
42,1446,6326,5338,8622,102,4464
43,1908,1719,3793,4575,3748,2537
44,4541,102,1418,7886,614,2914
45,10057,4464,2849,5338,6213,8514
46,5841,1719,3748,8726,8622,9072
47,686,2377,888,1111,9235,1446
48,4575,1727,5830,116,6326,1908
49,614,102,686,2377,9072,10057
50,9235,8726,2849,5830,3793,8622
51,116,1418,5338,1727,5841,6326
52,2914,1719,4464,4575,6213,4541
53,1111,1908,3748,888,8514,1446
54,7886,4575,4464,2537,5830,5841
55,1111,8726,6326,2914,1446,6213
56,3793,2377,1418,888,5338,9072
57,1719,9235,686,1727,7886,102
58,8622,1908,2849,10057,4541,3748
59,2537,116,8726,8514,614,6213
60,7886,5830,3748,1727,2849,1111
61,2537,4464,2914,1719,116,8622
62,614,1418,4541,888,4575,3793
63,10057,1908,1446,102,8514,2377
64,5841,5338,6326,9235,9072,686
