1,1986,1769,4766,1288,5013,10116
2,5809,5918,10121,5126,2357,1939
3,2718,2560,6843,1785,4959,5801
4,1987,8825,1764,1730,2001,6907
5,1763,9410,2345,4593,5141,5098
6,1723,1847,7531,1825,2457,1775
7,937,4455,1827,3061,5268,4009
8,1763,6843,1288,2357,8825,4593
9,5013,9410,1723,1785,2718,2001
10,5809,5141,4009,1825,3061,1987
11,6907,4766,5126,5801,5268,2345
12,5918,1769,4455,1986,1939,1764
13,1730,2457,10121,1775,2560,5098
14,937,10116,7531,1847,4959,1827
15,4766,5013,5918,6843,1769,5268
16,4593,1986,1825,2560,5126,1987
17,4009,1847,1785,5809,1764,2345
18,1775,5801,1723,2001,5098,1827
19,9410,2718,10116,1288,7531,1939
20,6907,937,10121,5141,1730,4455
21,4959,3061,2357,8825,1763,2457
22,1939,1775,2001,5126,1825,4009
23,5013,1986,1730,4593,2718,937
24,2345,1288,2457,1769,3061,5809
25,2357,5098,1847,1785,4455,10116
26,7531,1987,1763,9410,10121,5268
27,1827,2560,6907,6843,5918,4959
28,5801,4766,8825,1764,5141,1723
29,5809,1847,1825,4455,5098,5013
30,5126,10121,2718,6907,9410,4959
31,4766,1764,1288,5141,7531,2560
32,4593,1730,5268,937,2457,5801
33,5918,1939,8825,1987,1827,1785
34,4009,2357,1763,1723,1986,10116
35,3061,2001,6843,2345,1775,1769
36,4766,4455,5809,2457,1939,2718
37,2560,5801,9410,1986,10121,8825
38,5013,1987,1775,2357,6907,7531
39,1769,937,2001,1763,1847,5918
40,6843,1785,5141,1288,1825,1730
41,4009,10116,5098,1827,5126,2345
42,4959,5268,1764,3061,1723,4593
43,2357,1987,9410,2718,4766,1825
44,5801,1730,5918,1847,1288,10121
45,5268,1939,1785,1723,8825,6843
46,4455,2560,1986,2001,2345,7531
47,10116,2457,3061,5126,937,1764
48,6907,4593,4009,1769,5098,1763
49,1827,1775,5809,4959,5141,5013
50,2001,1825,8825,10121,10116,4766
51,4455,1764,3061,6843,5126,9410
52,5268,1288,5809,1775,4959,1986
53,1987,2457,5098,937,5918,5141
54,2345,4593,1847,2718,2357,1723
55,1939,5013,1769,1730,4009,2560
56,7531,1827,5801,1785,1763,6907
57,5098,2718,3061,10121,6843,2357
58,8825,5126,1288,1825,5013,937
59,1775,10116,5141,5918,1785,4593
60,2560,5268,1847,4009,9410,1986
61,2345,4959,4766,1730,1827,1939
62,1764,7531,2457,2001,5809,1763
63,1769,1723,1987,4455,6907,5801
64,3061,10121,1775,4766,4009,937
65,5268,1827,2718,2001,1764,2560
66,1939,1763,4455,8825,1847,5013
67,7531,1730,4959,1986,2345,5918
68,9410,1825,1785,2457,6907,1769
69,5098,1723,5126,5141,1288,1987
70,5801,4593,6843,10116,5809,2357
71,5013,2345,2718,5918,1775,5268
72,2560,1288,3061,1847,6907,1939
73,4959,4593,4455,1987,4766,2001
74,5141,2357,1825,1764,5801,1769
75,5098,5809,937,7531,8825,9410
76,2457,6843,1986,10121,4009,1827
77,1723,1785,1730,10116,1763,5126
78,8825,1769,4959,4455,7531,1775
79,5098,5801,1986,1939,3061,4766
80,2457,2001,5126,2718,4009,1288
81,1763,1723,937,1825,2345,2560
82,1827,5918,2357,9410,5809,1730
83,1764,1785,5013,10121,1987,4593
84,5268,5141,6907,10116,6843,1847
