1,10093,9470,3501,254,9006,4171
2,100,4135,2813,2854,1967,3669
3,6506,7413,192,115,2135,9125
4,5027,9400,9504,4765,9202,4990
5,6962,2489,6036,114,368,4014
6,1678,649,6059,1868,670,751
7,1700,581,6619,604,9114,3482
8,7528,2367,7709,3256,6822,2473
9,2643,10133,971,846,766,1072
10,100,8404,1351,7413,9564,972
11,254,3501,649,6059,192,2854
12,6962,10093,9006,6619,115,5027
13,9125,751,6822,2813,4990,3482
14,9114,7528,9202,4135,1678,10133
15,4171,9564,6506,114,7709,604
16,1072,9504,1351,6036,3669,766
17,9470,2367,2643,8404,971,670
18,4765,1700,3256,1967,368,2135
19,4014,846,972,9400,1868,581
20,2489,9125,10133,649,4171,2473
21,3501,7413,3482,4135,3669,5027
22,9564,1351,2854,6962,4990,2367
23,6059,2135,766,9006,6036,9114
24,1678,2643,4765,6822,254,114
25,6506,2489,115,2813,1700,1868
26,972,3256,192,1072,6619,9470
27,7709,9400,670,971,581,100
28,604,9504,751,7528,4014,1967
29,368,2473,846,9202,8404,10093
30,114,1868,9125,9006,766,4135
31,115,1678,3256,972,1351,3501
32,6822,2854,2135,581,9564,2489
33,2813,7709,9114,4014,4765,9470
34,6619,192,971,1967,9202,751
35,10133,3669,4990,368,6506,10093
36,2473,6036,254,7413,604,670
37,649,1072,9400,1700,5027,7528
38,4171,100,6962,846,3482,2643
39,8404,9125,2367,6059,6619,9504
40,581,3501,9202,10093,2489,1967
41,9564,971,6036,3256,10133,2813
42,670,6822,9006,3669,972,1700
43,1868,115,4990,7709,1072,2135
44,192,3482,100,1351,2473,4765
45,5027,751,6962,9114,4171,8404
46,368,2643,4135,9400,6059,604
47,766,6506,4014,2854,254,1678
48,846,114,9504,9470,7413,649
49,7528,4765,3669,2367,581,115
50,100,6036,3501,9125,1700,971
51,192,2135,604,9400,6962,8404
52,766,670,4171,6619,9202,6506
53,4990,3256,846,2489,9114,4135
54,1351,9470,7709,7528,6059,10093
55,6822,1072,2643,751,2854,7413
56,649,9006,4014,9564,1967,2473
57,3482,10133,114,9504,1868,1678
58,254,5027,2813,2367,972,368
59,4990,7528,6036,3501,4171,4765
60,9470,4135,6059,6506,100,1072
61,3669,4014,115,2643,3256,9202
62,2473,604,1678,2135,971,2489
63,1700,10093,2854,192,8404,1868
64,3482,1967,9125,972,114,9400
65,670,9114,368,9504,9006,9564
66,766,6962,7413,2367,2813,649
67,6619,751,254,7709,846,10133
68,581,6822,4135,5027,1351,192
69,9202,2473,1700,4990,114,6059
70,9504,972,7528,2135,2643,100
71,7413,4765,8404,9006,6506,3256
72,2854,2367,1868,6036,368,7709
73,3669,2813,1072,1678,6619,2489
74,10133,649,9114,3501,604,6822
75,971,9470,254,3482,6962,581
76,115,10093,9400,751,766,9564
77,670,846,5027,4014,9125,1351
78,1967,1678,1700,4171,7709,7413
79,9202,1072,114,2135,3501,2367
80,2489,2813,9006,2643,192,7528
81,2473,6506,972,9114,9504,6962
82,604,3669,9564,9125,5027,9470
83,4171,6059,368,971,4014,6822
84,1351,9400,1967,1868,254,10133
85,10093,4135,6619,4765,649,6036
86,751,4990,581,3256,100,766
87,8404,2854,846,670,3482,115
