1,354,871,743,9295,9642,4571
2,7759,5421,1601,5806,7730,3760
3,5298,6463,333,3419,369,2869
4,2344,6590,7272,5736,2265,9509
5,6648,296,6401,9016,4012,329
6,8739,334,9437,806,1155,2601
7,335,6873,4299,10207,287,9636
8,1880,7036,6880,5123,3004,884
9,7522,395,358,7668,3950,694
10,2265,7730,369,9642,5736,9016
11,9295,8739,6648,6463,5806,7272
12,9636,9509,3419,333,806,4571
13,5421,743,2344,1601,1880,334
14,3760,884,395,6873,3004,7522
15,6401,335,5298,6590,1155,7668
16,6880,3950,2869,287,354,296
17,2601,694,4012,5123,7759,10207
18,329,871,7036,9437,358,4299
19,806,9016,5806,2344,7522,3760
20,6401,9509,884,369,9642,5421
21,5736,4571,3004,287,335,6463
22,296,7730,743,6590,9636,3950
23,6648,7668,7759,333,7036,4299
24,9437,395,694,1601,2265,4012
25,7272,8739,2869,3419,329,5123
26,354,2601,5298,358,6873,1880
27,871,334,9295,6880,10207,1155
28,5806,743,884,3760,9509,296
29,4299,7522,287,7730,4012,333
30,3950,5736,6401,806,3419,9437
31,5421,2601,7272,1601,5298,2869
32,6873,6880,6590,694,7759,8739
33,358,7668,9016,6463,9636,871
34,3004,334,1155,9642,2265,6648
35,395,2344,7036,354,10207,4571
36,1880,5123,369,9295,329,335
37,2601,296,8739,9509,4299,7272
38,5736,6590,5421,6880,9016,743
39,1601,884,6463,3950,333,871
40,9636,9437,6873,9642,4012,2344
41,3760,4571,7759,2869,694,334
42,5123,287,395,7522,1155,369
43,5806,6401,10207,3004,5298,329
44,358,2265,806,7730,1880,7668
45,335,6648,3419,7036,9295,354
46,334,5736,7759,296,4299,3950
47,743,333,5123,871,9509,6873
48,9016,2869,9437,5298,6880,395
49,4571,884,1155,4012,358,5806
50,335,2344,1880,694,3419,6463
51,8739,7522,354,6401,5421,2265
52,369,10207,7668,7272,6648,7730
53,806,287,3004,2601,1601,9295
54,6590,9642,329,7036,3760,9636
55,2869,871,4299,1880,3950,395
56,6463,9437,2265,7759,354,6401
57,334,6648,5123,884,5298,2344
58,1155,3419,7730,6873,5806,5421
59,3004,335,694,9509,8739,806
60,10207,9642,2601,333,296,7522
61,9636,4571,7668,6880,1601,5736
62,9016,287,7036,743,7272,329
63,4012,369,9295,3760,358,6590
64,2869,7730,7759,8739,2344,871
65,5298,5806,9509,4299,5123,2265
66,10207,806,1601,5421,354,884
67,9016,3950,6463,9636,1880,1155
68,2601,329,3760,3419,395,5736
69,7272,4571,7522,9437,369,296
70,333,335,6880,4012,743,3004
71,694,6401,6590,287,358,6648
72,7036,334,9642,7668,9295,6873
73,329,884,3950,2344,7759,2601
74,4299,1155,1601,4571,2869,9509
75,395,6463,5421,296,5123,335
76,5806,3004,354,369,6590,871
77,7522,9295,694,334,9016,9636
78,5298,6873,9642,5736,6648,806
79,2265,3419,10207,743,6401,287
80,4012,8739,1880,7668,7036,9437
81,7272,3760,333,7730,6880,358
82,1155,9295,296,694,1601,2344
83,6648,9636,5806,395,2869,2601
84,2265,6873,3950,329,5421,4571
85,7522,806,9642,7036,6463,6590
86,743,10207,358,7759,369,6880
87,9509,7668,5123,3419,9016,354
88,3004,4299,7730,884,9437,335
89,1880,7272,5736,6401,333,334
90,871,3760,4012,8739,5298,287
91,2869,296,2265,6873,806,7036
92,358,1601,3419,7759,7522,9016
93,7730,6463,9295,395,743,9509
94,4571,9437,1880,6648,6590,10207
95,329,694,287,884,7668,334
96,5421,4012,9636,871,7272,3004
97,369,3760,5298,3950,2601,335
98,354,5736,333,1155,5806,8739
99,5123,2344,6880,9642,4299,6401
