1,272,8714,4342,3314,5490,5666
2,2607,9416,2180,4653,5401,2234
3,1218,341,7587,7414,2590,2016
4,1640,5113,816,8721,5457,1089
5,708,204,1391,1647,9027,5310
6,222,6921,2095,5624,2191,316
7,1712,9100,816,1218,2722,6226
8,9027,8721,5401,5113,341,2234
9,5310,316,8714,2590,2607,1089
10,1391,5624,222,2095,5457,7587
11,1712,4653,6226,2191,204,4342
12,9416,5666,1647,9100,272,5490
13,1640,2722,2180,708,3314,7414
14,7587,6921,8714,2016,4342,5113
15,316,222,9416,1391,5310,5457
16,2095,1647,2722,341,4653,8721
17,5401,9100,2191,6921,708,272
18,5490,2180,9027,1640,1218,2607
19,3314,2016,1712,1089,816,5624
20,204,2234,2590,7414,5666,6226
21,9027,8714,341,2722,5401,316
22,2016,5457,1640,1647,708,4653
23,5113,1391,8721,5666,1712,6921
24,6226,204,5624,1218,2095,272
25,7414,7587,816,5490,5310,9416
26,1089,3314,2234,222,4342,2590
27,9100,2180,5457,8721,2191,2607
28,7414,5624,5401,8714,4653,1640
29,3314,6921,5310,9027,5113,1218
30,5666,816,204,2607,2016,222
31,1712,2095,708,2234,2180,7587
32,9416,6226,2191,341,2590,1647
33,4342,5490,1089,272,1391,2722
34,316,9027,2016,9100,222,4653
35,5113,2590,5457,2180,7414,204
36,341,5310,5624,1089,708,8714
37,4342,8721,1712,1640,9100,1647
38,2234,6226,1391,2191,7587,5666
39,2095,5401,5490,2722,3314,816
40,316,2607,272,6921,9416,1218
41,4653,7587,9027,6226,222,1640
42,9100,2590,1391,816,5310,708
43,204,1218,8721,8714,5401,5457
44,2180,1647,3314,316,5666,341
45,6921,2191,7414,5490,2234,1712
46,5113,2722,1089,2016,2095,9416
47,2607,4342,9100,272,5624,2590
48,4653,7414,1391,5401,341,3314
49,5310,5666,2095,1712,1640,316
50,5457,5624,4342,9027,816,9416
51,6226,2607,5113,708,222,2722
52,1218,2234,8714,1647,1089,6921
53,5490,2016,7587,2180,272,8721
54,9416,1712,204,2191,9027,3314
55,2095,2607,4653,4342,6226,5310
56,6921,5457,2234,2590,5490,2722
57,8714,8721,2016,816,1391,316
58,1647,272,5401,5624,2180,5113
59,341,1089,2191,7587,1640,204
60,5666,708,9100,222,7414,1218
61,9416,272,4653,2234,8721,5310
62,4342,1640,9027,2191,8714,5113
63,204,341,222,816,5490,6921
64,3314,2095,9100,5457,7414,1647
65,708,1218,2590,5401,1089,1712
66,7587,2722,5624,5666,1391,2607
67,2180,316,6921,2016,6226,9100
68,5457,272,222,8714,1712,7414
69,1391,1640,5490,204,5113,2095
70,8721,1647,816,5624,3314,2607
71,6226,316,708,5401,9416,4342
72,2590,9027,5666,1089,4653,2180
73,5310,2191,1218,2722,2016,341
74,7587,5113,3314,2234,316,9100
75,5624,9416,708,8714,204,5490
76,4653,1218,2016,2180,4342,2095
77,5310,1089,1640,8721,6921,6226
78,222,1647,2191,2590,7587,5401
79,2722,2607,7414,1391,1712,9027
80,272,2234,5666,5457,816,341
