1,230,6723,3634,237,228,2067
2,5142,1099,5746,8889,716,9193
3,8085,9710,2168,155,176,1991
4,2170,1350,7407,7869,195,4572
5,999,2712,178,7694,3461,7127
6,3464,1071,558,2064,6346,8085
7,3461,2067,4572,5746,716,228
8,2168,2064,178,237,6346,2170
9,2712,3634,155,1350,5142,3464
10,7869,7127,8889,1071,9710,230
11,1099,7407,1991,999,195,176
12,7694,6346,9193,8889,558,6723
13,230,237,2064,716,5142,3461
14,155,7407,7694,2712,195,1991
15,558,999,8085,4572,3634,3464
16,1099,7869,228,5746,178,9710
17,2168,9193,6723,1350,7127,1071
18,176,2067,5746,2170,558,7694
19,1350,3461,999,237,178,1991
20,2170,195,8889,6723,4572,5142
21,155,3464,9710,2168,716,230
22,2067,1071,9193,228,2064,2712
23,7869,3634,6346,1099,176,7127
24,8085,8889,155,2064,5746,7407
25,237,1071,195,7127,3464,228
26,4572,1350,1099,2067,5142,2712
27,3461,230,9193,8085,176,7694
28,6346,999,716,7407,2168,7869
29,558,1991,9710,178,2170,3634
30,2712,237,5746,6723,3464,7869
31,1099,9193,3634,7407,178,230
32,2064,4572,2170,1991,6723,999
33,195,228,1350,6346,558,176
34,7127,155,2168,8889,3461,9710
35,716,2067,7694,5142,8085,1071
36,1350,1991,2168,9193,2064,7127
37,999,228,7407,230,7869,5142
38,176,8889,4572,3634,558,237
39,3464,7694,1099,716,2170,1071
40,178,155,3461,9710,2067,6346
41,195,5746,6723,8085,2712,2170
42,1071,6346,3461,7407,176,3634
43,6723,1099,2064,228,4572,155
44,3464,8085,237,9193,9710,1350
45,558,5746,7869,230,7694,195
46,2067,8889,178,5142,2168,999
47,7127,2712,558,716,1991,8085
48,5746,4572,2168,3634,7694,2064
49,9710,6723,716,3461,7407,195
50,176,237,5142,7127,999,2067
51,8889,1991,228,2712,230,1350
52,9193,7869,2170,6346,155,1099
53,1071,178,176,3464,2168,8889
54,9710,2712,7869,3461,2064,558
55,5142,6346,178,4572,8085,7407
56,1991,230,2067,195,9193,3464
57,7694,6723,1350,1071,999,1099
58,2170,7127,5746,155,237,716
59,3634,5142,195,228,2168,6346
60,176,7869,716,178,8085,6723
61,228,2170,230,5746,1350,3461
62,1991,3634,1071,9710,1099,237
63,2067,3464,2064,7407,8889,2712
64,999,7694,4572,558,9193,155
65,7127,7407,5142,1991,2170,3464
66,4572,230,6346,6723,1071,2712
67,2168,3461,237,195,1099,558
68,2064,9710,176,7694,5746,8889
69,9193,228,8085,7869,155,999
70,178,716,7127,3634,1350,2067
