1,5265,8421,5902,7913,6933,319
2,8708,1307,1512,4925,1922,8544
3,4546,5813,1247,10125,8046,2262
4,2523,811,3597,5459,8410,6691
5,1277,7674,1831,6690,1721,4905
6,95,9732,9055,9101,509,5491
7,5265,6161,10083,3451,1922,4546
8,8410,10125,8544,6933,5459,1831
9,5813,8708,5902,6690,319,2523
10,95,3451,8421,1307,10083,4905
11,4925,5491,7913,9055,509,8046
12,1721,1277,2262,9732,6691,6161
13,811,9101,7674,1247,1512,3597
14,3451,1831,9055,4546,5902,509
15,8544,6691,319,95,6690,1922
16,4905,2262,9732,8708,10125,5459
17,7913,1247,9101,5813,1721,1307
18,4925,10083,6933,811,1512,1277
19,2523,7674,5265,5491,8421,8410
20,3597,5459,1307,5813,6161,8046
21,811,1247,95,1831,1922,1512
22,6933,509,2262,319,1721,10083
23,5902,8410,4905,7674,6691,8421
24,9732,5265,8046,9055,8544,8708
25,9101,3597,1277,4925,2523,4546
26,5491,3451,6161,7913,6690,10125
27,7674,4905,1512,509,8410,8708
28,8421,8046,1247,1277,5902,1922
29,6691,2262,3451,9055,3597,6161
30,7913,1721,4546,811,10125,9732
31,2523,5813,6933,95,1307,4925
32,10083,1831,9101,5459,5265,6690
33,8046,5491,319,1721,3451,8544
34,6161,811,7913,7674,6933,8410
35,3597,9732,6690,5265,9055,4925
36,1307,2523,8544,1247,1831,509
37,1922,5813,5491,8708,4905,319
38,5459,1512,8421,4546,2262,95
39,1277,10083,10125,5902,9101,6691
40,1831,9732,1721,6161,2523,1922
41,3597,8046,8410,4905,7913,95
42,5902,7674,6690,8544,1512,2262
43,509,811,1307,319,5265,1277
44,6691,8708,1247,3451,4925,5459
45,5491,6933,9055,9101,8421,5813
46,10125,1307,7674,6690,4546,10083
47,8410,95,1512,1247,9732,1277
48,6691,9055,1721,8708,6933,3451
49,8421,8544,509,5813,2262,3597
50,319,4546,5459,5902,5491,811
51,10125,1922,5265,8046,4925,9101
52,10083,7913,2523,4905,6161,1831
53,3597,509,3451,8410,1277,5813
54,10125,319,9055,7674,5459,95
55,2262,6690,5491,5265,7913,1831
56,4905,8544,4546,9101,2523,1721
57,1922,1307,9732,6691,8046,811
58,6161,8708,4925,10083,5902,1247
59,6933,1277,8421,1512,4546,5491
60,2262,811,5265,509,95,5813
61,8544,5459,10083,1721,4925,8410
62,319,9101,6161,8708,8421,9732
63,1512,5902,10125,9055,4905,2523
64,3451,1247,6690,6933,3597,1922
65,1307,1831,6691,8046,7674,7913
66,5902,6161,1721,1512,5265,509
67,9732,4546,6933,1247,4905,5491
68,6690,9101,8708,8410,3451,811
69,5459,9055,1922,1307,1277,7913
70,8046,95,2523,2262,10083,7674
71,1831,4925,10125,8421,319,3597
72,6691,5813,4905,8544,1247,5265
73,1922,8410,9101,2262,9055,1307
74,509,7913,5459,8421,6690,811
75,4546,1277,8046,6161,8544,6933
76,1721,95,8708,1831,3597,5902
77,1512,319,4925,2523,10125,6691
78,10083,3451,5813,9732,5491,7674
