1,2662,1,0,0,1,3,3.0,75,1,1,9,8,0,2
2,3179,1,0,0,1,3,3.0,75,1,1,9,8,0,2
3,7755,1,0,0,1,3,3.0,75,1,1,9,8,0,2
4,3648,1,0,0,1,3,3.0,125,1,0,22,11,0,2
5,4146,1,0,0,1,3,3.0,125,1,0,22,11,0,2
6,5665,1,0,0,1,3,3.0,125,1,0,22,11,0,2
7,2647,0,1,0,1,1,1.0,47,0,1,12,4,0,2
8,3019,0,1,0,1,1,1.0,47,0,1,12,4,0,2
9,5429,0,1,0,1,1,1.0,47,0,1,12,4,0,2
10,1011,0,1,0,1,0,0.0,40,0,1,7,5,0,1
11,6833,0,1,0,1,0,0.0,40,0,1,7,5,0,1
12,10008,0,1,0,1,0,0.0,40,0,1,7,5,0,1
13,60,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14,498,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15,698,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16,1165,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17,2240,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18,2375,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19,2478,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20,2486,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21,2840,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22,3187,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23,3794,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24,3853,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25,4565,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26,5026,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27,5059,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28,6352,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29,6413,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30,7419,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31,7425,0,0,0,0,0,0.0,0,0,0,0,0,0,0
32,7447,0,0,0,0,0,0.0,0,0,0,0,0,0,0
33,7687,0,0,0,0,0,0.0,0,0,0,0,0,0,0
34,7703,0,0,0,0,0,0.0,0,0,0,0,0,0,0
35,8044,0,0,0,0,0,0.0,0,0,0,0,0,0,0
36,8087,0,0,0,0,0,0.0,0,0,0,0,0,0,0
37,8500,0,0,0,0,0,0.0,0,0,0,0,0,0,0
38,9059,0,0,0,0,0,0.0,0,0,0,0,0,0,0
39,9432,0,0,0,0,0,0.0,0,0,0,0,0,0,0
40,9704,0,0,0,0,0,0.0,0,0,0,0,0,0,0
41,9777,0,0,0,0,0,0.0,0,0,0,0,0,0,0
42,10210,0,0,0,0,0,0.0,0,0,0,0,0,0,0
