#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,2521,6443,997,4043,957,847,219,151,RED
2,1425,9430,749,492,4125,3024,135,193,BLUE
3,1318,2046,10103,9600,3681,2635,202,156,RED
4,4089,1540,5295,1983,2928,2557,120,181,BLUE
5,4043,957,847,1425,9430,749,187,162,RED
6,9600,3681,2635,4089,1540,5295,151,150,RED
7,2521,6443,997,492,4125,3024,202,169,RED
8,1318,2046,10103,1983,2928,2557,201,195,RED
9,492,4125,3024,9600,3681,2635,173,133,RED
10,1983,2928,2557,4043,957,847,185,139,RED
11,2521,6443,997,1318,2046,10103,203,198,RED
12,1983,2928,2557,492,4125,3024,197,148,RED
13,1318,2046,10103,1983,2928,2557,198,212,BLUE
14,2521,6443,997,1983,2928,2557,187,224,BLUE
15,2521,6443,997,1983,2928,2557,203,177,RED
15,2521,6443,997,1983,2928,2557,188,188,TIE
16,2521,6443,997,1983,2928,2557,204,212,BLUE
