#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1731,1676,2068,3361,5115,5954,239,105,RED
2,3136,1599,8326,3373,4472,2421,194,155,RED
3,6802,1629,617,9709,3939,1895,174,160,RED
4,2199,539,1522,9003,619,4456,145,123,RED
5,3361,5115,5954,3373,4472,2421,116,179,BLUE
6,9709,3939,1895,9003,619,4456,146,157,BLUE
7,1731,1676,2068,3136,1599,8326,235,176,RED
8,6802,1629,617,2199,539,1522,210,139,RED
9,3136,1599,8326,9003,619,4456,165,185,BLUE
10,2199,539,1522,3373,4472,2421,124,135,BLUE
11,1731,1676,2068,6802,1629,617,227,190,RED
12,3373,4472,2421,9003,619,4456,161,149,RED
13,6802,1629,617,3373,4472,2421,202,160,RED
14,1731,1676,2068,6802,1629,617,233,209,RED
15,1731,1676,2068,6802,1629,617,268,187,RED
