#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1987,4766,5141,4593,5126,5809,294,168,RED
2,5801,4009,8825,2560,1785,1939,217,170,RED
3,3061,5013,7531,1764,1986,1825,167,171,BLUE
4,9410,1730,5098,2357,2718,2457,134,168,BLUE
5,4593,5126,5809,2560,1785,1939,225,136,RED
6,3061,5013,7531,9410,1730,5098,193,201,BLUE
7,1987,4766,5141,5801,4009,8825,202,231,BLUE
8,1764,1986,1825,2357,2718,2457,193,228,BLUE
9,1987,4766,5141,9410,1730,5098,236,154,RED
10,1764,1986,1825,4593,5126,5809,185,178,RED
11,5801,4009,8825,2357,2718,2457,216,243,BLUE
12,1764,1986,1825,1987,4766,5141,162,265,BLUE
13,5801,4009,8825,1987,4766,5141,144,280,BLUE
14,2357,2718,2457,1987,4766,5141,180,253,BLUE
15,2357,2718,2457,1987,4766,5141,205,211,BLUE
