#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1574,2231,10145,3388,5635,1580,185,130,RED
2,3083,3339,9304,5614,6738,4744,186,180,RED
3,5990,5654,4416,5715,1942,7845,141,175,BLUE
4,1690,4320,4590,2630,7039,7112,218,178,RED
5,3388,5635,1580,5614,6738,4744,128,127,RED
6,5990,5654,4416,2630,7039,7112,142,176,BLUE
7,1574,2231,10145,3083,3339,9304,199,148,RED
8,5715,1942,7845,1690,4320,4590,204,176,RED
9,3083,3339,9304,2630,7039,7112,172,159,RED
10,1690,4320,4590,3388,5635,1580,183,140,RED
11,1574,2231,10145,5715,1942,7845,214,169,RED
12,1690,4320,4590,3083,3339,9304,225,145,RED
13,5715,1942,7845,1690,4320,4590,165,202,BLUE
14,1574,2231,10145,1690,4320,4590,172,213,BLUE
15,1574,2231,10145,1690,4320,4590,200,194,RED
16,1574,2231,10145,1690,4320,4590,164,177,BLUE
