#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,6090,2075,3234,3546,5567,288,216,182,RED
2,1506,2771,8397,3458,6114,9566,178,125,RED
3,3357,5256,2246,858,4004,3875,161,176,BLUE
3,3357,5256,2246,858,4004,3875,178,178,TIE
4,2054,244,10070,6877,4327,904,175,111,RED
5,3546,5567,288,3458,6114,9566,188,151,RED
6,3357,5256,2246,6877,4327,904,140,121,RED
7,6090,2075,3234,1506,2771,8397,247,203,RED
8,858,4004,3875,2054,244,10070,148,153,BLUE
9,1506,2771,8397,3357,5256,2246,163,114,RED
10,858,4004,3875,3546,5567,288,159,182,BLUE
11,6090,2075,3234,2054,244,10070,249,168,RED
12,3546,5567,288,1506,2771,8397,198,184,RED
13,2054,244,10070,3546,5567,288,183,162,RED
14,6090,2075,3234,2054,244,10070,218,162,RED
15,6090,2075,3234,2054,244,10070,210,189,RED
