#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,133,3467,9055,7907,157,6153,209,101,RED
2,1740,78,9056,166,58,1729,181,234,BLUE
3,6329,172,8421,4906,4041,5494,183,146,RED
4,2648,4564,348,5687,1922,4473,215,201,RED
5,7907,157,6153,1740,78,9056,78,155,BLUE
6,4906,4041,5494,5687,1922,4473,175,166,RED
7,133,3467,9055,166,58,1729,287,231,RED
8,6329,172,8421,2648,4564,348,229,208,RED
9,166,58,1729,4906,4041,5494,222,130,RED
10,2648,4564,348,1740,78,9056,222,223,BLUE
11,133,3467,9055,6329,172,8421,246,173,RED
12,1740,78,9056,166,58,1729,152,208,BLUE
13,6329,172,8421,166,58,1729,195,261,BLUE
14,133,3467,9055,166,58,1729,213,197,RED
15,133,3467,9055,166,58,1729,242,227,RED
