#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,1506,2145,4994,3534,7289,5555,211,145,RED
2,3707,5114,3568,245,1,2604,159,166,BLUE
3,5166,894,10053,9572,9237,9207,163,147,RED
4,7762,314,10149,5612,2337,5926,160,194,BLUE
5,3534,7289,5555,3707,5114,3568,135,145,BLUE
6,9572,9237,9207,7762,314,10149,138,128,RED
7,1506,2145,4994,245,1,2604,238,163,RED
8,5166,894,10053,5612,2337,5926,146,170,BLUE
9,245,1,2604,9572,9237,9207,177,144,RED
10,5166,894,10053,3707,5114,3568,164,179,BLUE
11,1506,2145,4994,5612,2337,5926,213,158,RED
12,3707,5114,3568,245,1,2604,187,151,RED
13,5612,2337,5926,3707,5114,3568,163,192,BLUE
14,1506,2145,4994,3707,5114,3568,239,181,RED
15,1506,2145,4994,3707,5114,3568,228,158,RED
