#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4414,9084,5285,6487,2543,4276,238,164,RED
2,399,3128,5104,841,3255,6996,175,170,RED
3,4698,2485,6060,294,1572,5924,261,171,RED
4,2122,2102,4,2288,3647,9635,212,202,RED
5,6487,2543,4276,841,3255,6996,147,165,BLUE
6,294,1572,5924,2288,3647,9635,168,151,RED
7,4414,9084,5285,399,3128,5104,258,198,RED
8,4698,2485,6060,2122,2102,4,216,194,RED
9,399,3128,5104,294,1572,5924,190,176,RED
10,2122,2102,4,841,3255,6996,242,175,RED
11,4414,9084,5285,4698,2485,6060,255,213,RED
12,2122,2102,4,399,3128,5104,237,209,RED
13,4698,2485,6060,2122,2102,4,214,244,BLUE
14,4414,9084,5285,2122,2102,4,302,227,RED
15,4414,9084,5285,2122,2102,4,253,215,RED
