#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,3835,7444,7758,5993,7035,9451,112,80,RED
2,5553,9024,8127,8079,8084,6014,143,109,RED
3,10015,7682,7201,10126,10068,6402,98,81,RED
4,6429,1884,6064,9468,6948,9479,150,107,RED
5,5993,7035,9451,8079,8084,6014,81,103,BLUE
6,10126,10068,6402,9468,6948,9479,87,114,BLUE
7,3835,7444,7758,5553,9024,8127,147,100,RED
8,10015,7682,7201,6429,1884,6064,111,156,BLUE
9,5553,9024,8127,9468,6948,9479,123,109,RED
10,10015,7682,7201,8079,8084,6014,121,136,BLUE
11,3835,7444,7758,6429,1884,6064,104,169,BLUE
12,8079,8084,6014,5553,9024,8127,133,103,RED
13,3835,7444,7758,8079,8084,6014,165,140,RED
14,6429,1884,6064,3835,7444,7758,132,158,BLUE
15,6429,1884,6064,3835,7444,7758,137,129,RED
16,6429,1884,6064,3835,7444,7758,157,132,RED
