#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4635,5948,5887,9280,2283,3933,170,136,RED
2,6017,3526,5874,4775,6348,9702,123,126,BLUE
3,7421,3522,6652,4010,3158,7546,160,134,RED
4,3354,5959,6606,6647,4723,3527,97,117,BLUE
5,9280,2283,3933,6017,3526,5874,114,153,BLUE
6,4010,3158,7546,3354,5959,6606,93,112,BLUE
7,4635,5948,5887,4775,6348,9702,177,118,RED
8,7421,3522,6652,6647,4723,3527,172,109,RED
9,4775,6348,9702,3354,5959,6606,109,121,BLUE
10,6647,4723,3527,6017,3526,5874,86,126,BLUE
11,4635,5948,5887,7421,3522,6652,206,156,RED
12,6017,3526,5874,3354,5959,6606,135,128,RED
13,7421,3522,6652,6017,3526,5874,143,120,RED
14,4635,5948,5887,7421,3522,6652,156,175,BLUE
15,4635,5948,5887,7421,3522,6652,179,175,RED
16,4635,5948,5887,7421,3522,6652,183,146,RED
