#,Red_1,Red_2,Red_3,Blue1,Blue2,Blue3,Red_Score,BlueScore,Result
1,4405,5907,5498,2832,6152,3667,201,143,RED
2,3414,6861,8179,503,469,8115,139,153,BLUE
3,7174,5090,7553,8280,5708,8426,171,127,RED
4,548,862,6532,5531,9572,308,210,118,RED
5,2832,6152,3667,3414,6861,8179,116,156,BLUE
6,8280,5708,8426,5531,9572,308,144,121,RED
7,4405,5907,5498,503,469,8115,215,176,RED
8,7174,5090,7553,548,862,6532,195,172,RED
9,503,469,8115,8280,5708,8426,153,144,RED
10,548,862,6532,3414,6861,8179,208,131,RED
11,4405,5907,5498,7174,5090,7553,161,169,BLUE
12,548,862,6532,503,469,8115,187,164,RED
13,4405,5907,5498,548,862,6532,164,217,BLUE
14,7174,5090,7553,548,862,6532,207,193,RED
15,7174,5090,7553,548,862,6532,179,172,RED
