1,6918,7332,9180,7190,9649,7173
2,1622,2122,6351,9449,7796,6188
3,9641,2130,359,9277,5461,1452
4,6364,4270,4421,4627,8503,10127
5,7497,1868,7167,7287,5515,9550
6,6390,3008,10185,568,7688,7135
7,6823,8339,10147,9719,9292,8338
8,2122,7497,9449,7173,359,5461
9,7332,6364,9550,7688,1622,4270
10,9719,8503,7135,7167,8338,6188
11,7796,5515,10147,10127,9277,1868
12,7287,9649,6823,4627,6390,7190
13,10185,9180,1452,6351,568,4421
14,6918,9292,9641,3008,2130,8339
15,10147,7135,9449,9277,6823,7688
16,6351,8503,9550,5515,568,7332
17,8338,1452,8339,7287,1868,3008
18,7497,9180,9292,4270,2130,6918
19,6188,7190,6364,9719,359,10185
20,7173,6390,1622,7796,4421,4627
21,10127,2122,5461,9641,9649,7167
22,7332,7287,9277,6823,10185,9550
23,4627,9719,6918,1868,7796,6390
24,7167,9449,1622,4270,8338,8503
25,2130,6364,5461,2122,1452,568
26,7173,6351,5515,8339,9641,7135
27,359,10147,7688,4421,9649,9180
28,3008,6188,9292,10127,7190,7497
29,6351,9277,4627,7167,5461,7796
30,4421,7287,2130,8339,7332,9719
31,1868,8503,6364,9180,9641,7173
32,7688,2122,6390,8338,6823,5515
33,7135,6188,9649,9449,568,9292
34,9550,7497,4270,3008,1452,10147
35,1622,359,7190,6918,10127,10185
36,5515,9292,7167,9449,6390,7332
37,9550,4627,2130,2122,8503,6188
38,1868,8338,9649,6351,7497,7287
39,7190,7796,568,9277,6364,10147
40,10127,9641,1452,7135,4421,6918
41,3008,1622,9719,359,9180,6823
42,7173,7688,10185,5461,8339,4270
43,6188,6351,6390,7497,10147,6918
44,6823,9641,3008,9449,6364,7287
45,8503,7332,7688,4421,1868,2122
46,5461,9550,7190,9292,7796,8339
47,1452,7173,7167,9649,9719,10127
48,5515,7135,359,2130,1622,9180
49,8338,9277,568,10185,4270,4627
50,7332,3008,2122,10147,10127,6351
51,7287,7688,8339,6188,6918,1622
52,7497,7135,8338,6364,4627,359
53,7167,6390,9277,9292,7173,4421
54,9719,4270,5515,7190,10185,2130
55,8503,6823,7796,9649,1452,9449
56,9180,5461,568,9550,1868,9641
57,10147,6188,4627,4270,7167,7332
58,4421,8338,10127,2130,9449,7173
59,9641,2122,7796,1622,10185,9649
60,1452,7190,1868,9550,7135,9180
61,568,7287,9719,9277,8339,7497
62,6918,6823,5461,6390,5515,6364
63,8503,9292,359,7688,3008,6351
64,9180,9449,9277,7135,7287,2122
65,5461,4421,1622,6188,9719,6823
66,4270,6390,9641,359,6351,1868
67,7796,10127,7173,7688,9550,8338
68,9292,10185,7332,6364,7497,1452
69,9649,10147,2130,4627,5515,3008
70,8339,6918,7190,568,7167,8503
71,7135,7332,7796,9641,5461,7497
72,1452,4270,7287,10147,7173,2122
73,10185,4421,6188,9180,7167,3008
74,1868,568,2130,9292,1622,6823
75,359,9550,10127,6390,8339,8503
76,7688,4627,9449,7190,9719,6351
77,5515,9277,9649,8338,6918,6364
78,568,7173,4270,7796,359,7287
79,2122,9180,9719,6390,10127,9292
80,6823,4421,7497,6364,7167,7688
81,9649,6918,3008,1622,9550,9277
82,10185,9449,8503,5461,10147,1868
83,2130,6351,8338,7332,7190,9641
84,8339,6188,5515,1452,4627,7135
