"num","team","total_points","total_notes","total_note_points","auto_notes","auto_points","teleop_notes","teleop_points","amp_notes","speaker_notes","amplified_notes","endgame_points","endgame_park_points","endgame_on_stage_points","endgame_harmony_points","endgame_trap_points","endgame_spotlight_points"
"6329","The Bucks' Wrath","43.4","11.2","39","2.1","12.7","9","28.4","4","7.1","4.8","2.2","0.24","2.1","0.04","0","-0.09"
"2539","Krypton Cougars","43.2","10.2","34.9","2.1","12.7","8","24.3","3","7.2","3.7","6.3","0.07","2.9","-0.07","3.3","0.01"
"7769","The CREW","43.2","11.1","36.7","2.7","15.6","8.4","23","3.5","7.6","3.3","4.7","0.18","2.9","0.35","1.3","-0.01"
"2200","MMRambotics","43.1","9.2","33.7","2","12.4","7.2","23.4","3.1","6.1","4.1","7.4","-0.04","3.2","-0.07","4.2","0.09"
"4481","Team Rembrandts","43.1","11.4","40","2.5","14.6","8.9","27.3","3.5","8","4.3","1.2","0.3","1.4","0.23","-0.6","-0.05"
"1261","Robo Lions","43","11.7","39.5","2.2","12.6","9.5","28.5","3.1","8.7","4.2","2","0.53","1.3","0.02","0.2","0.02"
"2054","Tech Vikes","42.9","9.6","34.6","1.8","11.1","7.8","25.6","3.6","6","4.5","6.2","0.29","2.4","-0.1","3.5","0.13"
"2642","Pitt Pirates","42.9","11.4","39.1","1.8","10.7","9.5","30","3.1","8.3","4.7","2.2","0.48","1.6","0.02","0.1","-0.01"
"3276","TOOLCATS","42.7","10.1","37.1","2.3","12.7","7.8","25.7","3.8","6.3","4.7","4.3","-0.01","2.1","-0.28","2.3","0.21"
"3538","RoboJackets","42.6","9.5","33.2","2.2","13","7.4","22.4","2.8","6.8","3.5","7.1","-0.08","3.4","-0.13","3.7","0.17"
"3663","CPR - Cedar Park Robotics","42.6","10.7","36.2","2.4","14.3","8.3","23.9","2","8.7","3.2","4.4","0.05","2.8","0.56","0.8","0.13"
"9496","Lynk","42.6","11.3","39.2","2.8","15.9","8.5","25.2","2.6","8.8","3.6","1.5","0.62","0.6","0.11","0.2","-0.02"
"180","S.P.A.M.","42.5","9.6","36.5","3.5","19.5","6.1","18.8","2.6","7","3.1","4.2","0.03","2.8","0.05","0.8","0.57"
"4522","Team SCREAM","42.4","10.2","36.4","2.3","13.2","7.8","24.8","3.5","6.7","4.2","4.4","0.33","1.8","-0.14","2.2","0.2"
"449","The Blair Robot Project","42.4","10.3","36.7","2.9","16.1","7.5","22.4","3.2","7.1","3.6","3.9","0.16","2.8","0.4","0.3","0.24"
"5813","Morpheus","42.3","10","36","2.8","15.6","7.2","22","2.9","7.1","3.5","4.7","0.16","2.4","0.1","2","0"
"2811","StormBots","42.3","9.7","33.3","2.3","13.6","7.5","22","3","6.7","3.4","6.7","-0.03","3.2","-0.03","3.5","0.15"
"5687","The Outliers","42.2","10.9","37.4","1.9","11.1","9.1","28.3","3.8","7.1","4.6","2.8","0.31","1.9","0.32","0.3","-0.02"
"103","Cybersonics","42.1","10.9","37.9","2.3","13.4","8.6","26.4","2.5","8.5","3.9","2.3","0.38","2","0.2","-0.4","0.17"
