1,BRBR,1156,1772,1860,5800,6404,6902,7033,7459,7563,7565,7567,8276,8882,9045,9046,9047,9048,9049,9050,9110,9162,9163,9165,9166,9169,9175,9178,9195,9196,9199,9218,9219,9302,9305,9458,9459,9460,9461,9484,9485,9486,9487,9602,9603,9611,9614,9617,9657,9675,10034,10040,10064,10078,10082,10090,10092,10102,10130,10155,10164,10175,10179,10209,10214,
2,FLFL,59,108,179,180,744,1523,1744,2152,2383,3164,3242,3627,3932,4091,4388,4562,5410,5472,5557,5872,6686,6743,7403,7500,7652,7717,7833,8066,8581,8791,8817,9040,9066,9085,9164,9168,9200,9244,9402,9404,9604,9693,9725,9779,9787,10096,10123,10171,,,,,,,,,,,,,,,,,
2,PAPI,117,128,291,340,378,578,677,1126,1559,1708,1781,2053,2172,2228,2252,2399,2603,2614,2641,2656,3138,3181,3193,3260,3484,3492,3504,3954,4027,4028,4050,4085,4150,4467,4930,4991,5413,5740,5811,5842,6032,7274,7515,8393,8705,9004,9022,9415,9475,9653,10035,10089,10187,10191,,,,,,,,,,,
5,MNDU1,706,1675,1732,2062,2129,2175,2227,2239,2491,2512,2513,2823,2883,2977,3042,3100,3130,3206,3267,3276,3630,3871,4009,4181,4198,4207,4226,4623,4632,4674,4728,5172,5253,5464,5826,5903,5996,6045,6047,6166,6175,6381,6574,6709,6732,6758,7038,7048,7068,7257,7530,7915,8029,8372,8531,8700,8836,8878,10045,10187,,,,,
5,MNDU2,93,694,930,967,1816,2039,2052,2225,2472,2508,2509,2549,2614,2826,2846,3134,3197,3297,3381,3418,3883,4230,4239,4536,4539,4655,4656,4693,4786,5143,5232,5271,5278,5339,5653,5690,5720,5913,6044,6160,6419,6421,6823,7021,7578,7619,7677,7797,7864,8122,8188,8255,8701,8744,8802,9532,9676,10025,10044,10087,,,,,
1,MXMO,2283,3158,3354,3472,3522,3526,3527,3794,3933,4010,4371,4635,4723,4731,4775,5716,5874,5887,5932,5948,5959,6017,6106,6170,6348,6605,6606,6647,6652,6832,6896,7018,7161,7421,7546,7725,8290,8558,8734,8740,9053,9065,9120,9134,9280,9593,9702,10140,,,,,,,,,,,,,,,,,
4,UTWV,159,1566,1569,2594,3006,3009,3166,3200,3243,3245,3288,3374,3405,4068,4175,4348,4499,4550,4585,4598,4643,4944,5071,5493,5851,5871,5933,6358,6411,7243,7419,7426,7436,7634,7895,7906,8087,8174,8839,8885,9018,9037,9044,9138,9423,10041,10132,10196,,,,,,,,,,,,,,,,,
1,BCVI,359,568,1452,1622,1868,2122,2130,3008,4270,4421,4627,5461,5515,6188,6351,6364,6390,6823,6918,7135,7167,7173,7190,7287,7332,7497,7688,7796,8338,8339,8503,9180,9277,9292,9449,9550,9641,9649,9719,10127,10147,10185,,,,,,,,,,,,,,,,,,,,,,,
1,CAP1,498,581,589,649,687,973,980,987,1159,1515,1661,1678,1828,1836,1891,2375,2429,2543,2584,2637,2984,3128,3328,3374,3512,3749,3759,3863,3925,4201,4415,4419,4481,4501,4711,4738,5199,5419,5817,5835,6036,6658,6764,6995,7323,7327,8005,8119,8159,8533,8768,9114,9408,9452,,,,,,,,,,,
3,CASJ,100,114,115,192,254,368,581,604,649,670,751,766,846,971,972,1072,1351,1678,1700,1868,1967,2135,2367,2473,2489,2643,2813,2854,3256,3482,3501,3669,4014,4135,4171,4765,4990,5027,6036,6059,6506,6619,6822,6962,7413,7528,7709,8404,9006,9114,9125,9202,9400,9470,9504,9564,10093,10133,,,,,,,
1,QCMO,296,2626,3117,3360,3532,3533,3544,3550,3975,3985,3986,3990,3996,4947,4952,4955,5439,5440,5443,5528,5618,5910,6540,6622,6869,6872,6929,7471,7605,7700,8067,8132,8152,8224,9076,9102,9234,9406,9623,9624,10032,10150,,,,,,,,,,,,,,,,,,,,,,,
1,TNKN,34,120,538,1014,1466,1592,2393,2556,2641,2872,3139,3140,3821,3824,3966,3984,4013,4020,4150,4265,4306,4462,4504,4576,4630,5002,5744,6107,6184,6302,6517,7072,7111,7431,7525,8214,8624,9073,9152,9313,9668,10166,,,,,,,,,,,,,,,,,,,,,,,
1,TUIS1,1797,2905,4191,5883,6024,6417,6430,6436,6459,6985,7050,7228,7292,7439,7536,7539,7575,7576,7611,7729,7840,8054,8146,8153,8166,8209,8263,8308,8500,8557,8777,8780,8783,8795,8799,9001,9025,9030,9070,9089,9095,9124,9132,9160,9185,9231,9233,9422,9436,9440,9464,9469,9483,9502,9523,9547,9565,9583,9585,9610,9692,9750,10114,10210,
5,NYSU,250,263,353,354,395,810,870,1155,1308,2265,2344,2601,2791,2875,3004,3204,3544,3950,3975,3986,4122,4571,5123,5298,5599,5806,6401,6423,6463,6621,6806,6880,6911,6969,7318,7504,7636,7718,7730,7840,8570,8595,8739,9624,9713,10039,10109,10207,,,,,,,,,,,,,,,,,
6,ARSE,16,323,456,1421,1730,1732,1818,1939,2080,2341,2357,2973,2992,3102,3468,3792,3843,3937,4107,4122,4330,4336,4522,4601,4959,5002,5045,5437,5454,5809,6055,6068,6186,6586,7483,7577,9067,9073,9429,9608,10055,10157,,,,,,,,,,,,,,,,,,,,,,,
5,MOSE,806,931,1108,1208,1706,1723,1763,1781,1785,1982,1986,1987,1997,2010,2457,2481,2486,2718,3184,3284,3729,3792,4418,4455,4522,4646,4766,4809,5098,5119,5141,5147,5437,5837,5918,6391,6404,6424,6817,7563,7662,8069,8112,9031,9085,9428,10064,10199,,,,,,,,,,,,,,,,,
