Number,Name,Country,State,City,District,Closest/Event1,Event2,Event3,Event4,W.E.C.,W.E.2,W.E.3,W.E.4,W.E.5,W.E.6,Rand1,Rand2,Rand3,R@E2,R@E4,SC12,SC13,SC23
103,Cybersonics,USA,Pennsylvania,Kintnersville,FMA,NJWAS,NJALL,PAPHI,*,1,4,3,,,,0.5127743546,0.9014787032,,4,0,-3,-2,1
107,Team R.O.B.O.T.I.C.S.,USA,Michigan,Holland,FIM,MIALL,MIHIG,*,,3,5,,,,,0.1833131724,,,0,,-2,,
108,SigmaC@T Robotics Team,USA,Florida,Fort Lauderdale,Regional,FLFL,FLTA,*,*,2,4,,,,,0.8809234335,0.2828116964,,0,,-2,2,4
111,WildStang,USA,Illinois,Arlington Heights,Regional,ILCH,ILPE,*,,1,6,,,,,0.549349239,,,0,,-5,,
112,Plus One,USA,Illinois,Arlington Heights,Regional,ILCH,OHCL,*,,1,3,,,,,0.3001836337,,,0,,-2,,
114,Eaglestrike,USA,California,Los Altos,Regional,CASJ,CABE,IDNA,*,3,6,5,,,,0.2123516295,0.1167511141,,0,0,-3,-2,1
115,MVRT,USA,California,Cupertino,Regional,CASJ,CASE,*,,3,1,,,,,0.8671103118,,,0,,2,,
116,Epsilon Delta,USA,Virginia,Herndon,CHS,VAFAL,MDSEV,*,,3,2,,,,,0.3349362708,,,8,,1,,
117,Steel Dragons Robotics,USA,Pennsylvania,Pittsburgh,Regional,PAPI,OHCI,*,,2,6,,,,,0.5174048145,,,0,,-4,,
118,Robonauts,USA,Texas,Houston,FIT,TXHOU,TXKAT,TXWAC,*,4,3,1,,,,0.2391857032,0.1348328301,,4,1,1,3,2
120,Youth Tech Academy Red Dragons,USA,Ohio,Cleveland,Regional,OHCL,TNKN,*,,3,1,,,,,0.3120810878,,,0,,2,,
122,NASA Knights,USA,Virginia,Hampton,CHS,VAPOR,VAGLE,*,,4,3,,,,,0.5619683827,,,10,,1,,
123,Team - Cosmos,USA,Michigan,Hamtramck,FIM,MIREN,MIBEL,*,,1,4,,,,,0.1194295531,,,0,,-3,,
125,NUTRONs,USA,Massachusetts,Revere,NE,MAREV,RIKIN,MABRI,*,1,5,3,,,,0.05404384971,0.3077819762,,0,2,-4,-2,2
126,Gael Force,USA,Massachusetts,Clinton,NE,MAWOR,RIKIN,*,,4,5,,,,,0.5797014701,,,0,,-1,,
128,The Botcats,USA,Ohio,Columbus,Regional,OHCI,PAPI,*,,6,2,,,,,0.1729476425,,,0,,4,,
131,CHAOS,USA,New Hampshire,Manchester,NE,NHSAL,MABRI,*,,5,3,,,,,0.5868834301,,,2,,2,,
133,B.E.R.T.,USA,Maine,Standish,NE,MELEW,RIKIN,MABRI,*,1,5,3,,,,0.5644172297,0.01919398365,,0,2,-4,-2,2
135,Penn Robotics Black Knights,USA,Indiana,Mishawaka,FIN,INMIS,INWAS,MIBER,*,3,4,2,,,,0.3259815025,0.9074130479,,1,0,-1,1,2
138,Entropy,USA,New Hampshire,Amherst,NE,NHSAL,MAREA,*,,5,4,,,,,0.321557603,,,2,,1,,
141,WOBOT,USA,Michigan,Holland,FIM,MIALL,MIBAT,VAPOR,*,3,1,4,,,,0.07992909596,0.8602062534,,0,11,2,-1,-3
144,Operation Orange,USA,Ohio,Hamilton,Regional,OHCI,ILCH,NDGF,*,6,1,4,,,,0.1341541315,0.7708030022,,0,0,5,2,-3
148,Robowranglers,USA,Texas,Greenville,FIT,TXPLA,TXFOR,TXWAC,*,5,3,1,,,,0.8732321021,0.8881105588,,1,1,2,4,2
151,Tough Techs,USA,New Hampshire,Nashua,NE,NHSAL,MAWOR,*,,5,4,,,,,0.6872488553,,,2,,1,,
155,The TechnoNuts,USA,Connecticut,Berlin,NE,CTHAR,CTWAT,MAREA,*,2,1,4,,,,0.4960626873,0.7925620077,,5,2,1,-2,-3
157,AZTECHS,USA,Massachusetts,Marlborough,NE,MAWOR,NHSAL,MELEW,*,4,5,1,,,,0.7986539051,0.7617558806,,2,6,-1,3,4
159,Alpine Robotics,USA,Colorado,Fort Collins,Regional,CODE,UTWV,*,,6,4,,,,,0.3896195002,,,0,,2,,
166,Chop Shop,USA,New Hampshire,Merrimack,NE,NHSAL,MELEW,SCNCH,*,5,1,4,,,,0.1754606592,0.03788826653,,6,6,4,1,-3
167,Children of the Corn,USA,Iowa,Iowa City,Regional,IACF,KSSH,*,,4,1,,,,,0.2487288835,,,0,,3,,
171,Cheese Curd Herd,USA,Wisconsin,Platteville,Regional,WILC,ILCH,*,,6,1,,,,,0.4614158318,,,0,,5,,
172,Northern Force,USA,Maine,Falmouth/Gorham,NE,MELEW,MASPR,NHSAL,*,1,3,5,,,,0.3790311454,0.3503054064,,3,2,-2,-4,-2
173,RAGE Robotics ⚙️,USA,Connecticut,Tolland,NE,CTHAR,MABRI,*,,2,3,,,,,0.5975039482,,,2,,-1,,
175,Buzz Robotics,USA,Connecticut,Enfield,NE,MASPR,RIKIN,*,,3,5,,,,,0.8424685699,,,0,,-2,,
176,Aces High,USA,Connecticut,Windsor Locks,NE,CTHAR,CTWAT,NHSAL,*,2,1,5,,,,0.8500491231,0.7766209459,,5,2,1,-3,-4
177,Bobcat Robotics,USA,Connecticut,South Windsor,NE,CTHAR,RIKIN,*,,2,5,,,,,0.1355800913,,,0,,-3,,
178,The 2nd Law Enforcers,USA,Connecticut,Farmington,NE,CTHAR,CTWAT,MASPR,*,2,1,3,,,,0.112606155,0.1307045911,,5,3,1,-1,-2
179,Children of the Swamp,USA,Florida,Riviera Beach,Regional,FLFL,FLOR,LAKE,*,2,6,5,,,,0.6103522746,0.6161649487,,0,0,-4,-3,1
180,S.P.A.M.,USA,Florida,Stuart,Regional,FLFL,FLTA,LAKE,*,2,4,5,,,,0.9639527653,0.9223579479,,0,0,-2,-3,-1
